"Time(input)","Time(AQMS)","Longitude","Latitude","AQHI","AR%","AR%(PM)","AR%(NO2)","AR%(O3)","AR%(SO2)","PM10(ug/m3)","PM2.5(ug/m3)","NO2(ug/m3)","O3(ug/m3)","SO2(ug/m3)"
"2024070207","2024070207",114.18156950,22.25055820,2.000000,3.159503,0.450861,0.414603,2.240562,0.053477,15.452595,4.659821,11.214834,41.943798,4.122590
"2024070207","2024070207",114.18156530,22.25057370,2.000000,3.155826,0.448389,0.409806,2.244642,0.052990,15.343832,4.621563,11.094093,42.005016,4.085600
"2024070207","2024070207",114.18079740,22.25019540,2.000000,3.161371,0.448538,0.411943,2.248034,0.052855,15.358393,4.645888,11.144281,42.107716,4.070900
"2024070208","2024070208",114.17890120,22.24960370,2.000000,3.282308,0.469898,0.641525,2.115774,0.055111,17.429115,6.323245,21.889729,35.591698,4.638387
"2024070208","2024070208",114.17854210,22.24859930,2.000000,3.309532,0.476152,0.623288,2.154070,0.056022,17.807112,6.537992,21.318909,36.743332,4.704168
"2024070208","2024070208",114.17731020,22.24836540,2.000000,3.223711,0.442935,0.550798,2.175719,0.054259,16.002964,5.473961,18.756084,37.198936,4.546596
"2024070208","2024070208",114.17470250,22.24887340,2.000000,3.189386,0.415349,0.467346,2.257422,0.049269,14.756436,4.962276,16.138090,39.126385,4.118891
"2024070208","2024070208",114.17457330,22.24880360,2.000000,3.189386,0.415349,0.467346,2.257422,0.049269,14.756436,4.962276,16.138090,39.126385,4.118891
"2024070208","2024070208",114.17452570,22.24874260,2.000000,3.188902,0.415504,0.466582,2.257363,0.049454,14.755950,4.954138,16.095812,39.142673,4.133907
"2024070208","2024070208",114.16938790,22.24850240,2.000000,3.601236,0.559055,1.149891,1.846923,0.045367,24.151340,11.217579,42.676052,25.960249,3.830030
"2024070208","2024070208",114.16585470,22.27857950,2.000000,3.747224,0.581013,1.523044,1.623110,0.020057,23.767395,12.173323,47.905174,23.739922,1.984022
"2024070208","2024070208",114.17384660,22.27988900,2.000000,3.390723,0.483064,1.153814,1.734716,0.019128,18.585737,8.684414,37.979748,25.279909,2.062311
"2024070208","2024070208",114.19193640,22.28243000,2.000000,3.568814,0.541819,1.245554,1.756757,0.024684,22.748077,11.204033,42.599472,25.637260,2.340830
"2024070208","2024070208",114.20084040,22.29124770,2.000000,3.687263,0.579681,1.328465,1.755948,0.023169,25.261322,13.084370,46.210789,25.264992,2.163158
